air_temp_set_1,relative_humidity_set_1,dew_point_temperature_set_1d,road_temp_set_1,wind_speed_set_1,label
-9.933333333,69.6,-14.498,-9.3,13.87133333,Snow
-10.0,70.66666667,-14.37533333,-8.226666667,16.484,Snow
-9.2,71.0,-13.54666667,-7.786666667,19.076,Snow
-9.0,71.66666667,-13.23666667,-7.073333333,19.35533333,Snow
-9.0,69.0,-13.71,-6.453333333,18.50333333,Snow
-9.0,68.33333333,-13.83,-5.94,19.24333333,Snow
-8.733333333,67.06666667,-13.80666667,-5.46,19.31733333,Snow
-8.0,63.13333333,-13.85666667,-5.14,19.446,Snow
-8.0,64.2,-13.64866667,-5.526666667,19.98333333,Snow
-8.0,65.93333333,-13.31533333,-5.7,18.78,Snow
-8.066666667,65.73333333,-13.416,-6.213333333,18.88933333,Snow
-8.466666667,65.73333333,-13.79933333,-7.3,19.62933333,Snow
-8.866666667,65.13333333,-14.29733333,-8.98,18.91066667,Snow
-9.0,66.4,-14.184,-9.773333333,19.75933333,Snow
-9.0,66.93333333,-14.09066667,-11.28666667,17.85266667,Snow
-9.266666667,70.26666667,-13.74066667,-12.34,15.854,Snow
-9.866666667,69.46666667,-14.46266667,-13.18,14.502,Snow
-9.333333333,66.33333333,-14.51666667,-13.44666667,14.59466667,Snow
-9.8,66.2,-14.98733333,-13.70666667,14.44533333,Snow
-9.133333333,64.4,-14.69066667,-13.56666667,17.05666667,Snow
-9.666666667,66.06666667,-14.882,-13.39333333,19.482,Snow
-9.533333333,67.0,-14.584,-13.27333333,19.11333333,Snow
-9.0,66.0,-14.26,-13.14,17.64933333,Snow
-9.0,66.06666667,-14.248,-13.34,16.92733333,Snow
-9.0,64.66666667,-14.51333333,-13.38666667,17.11133333,Snow
-9.0,63.6,-14.71933333,-13.73333333,15.79933333,Snow
-9.0,63.46666667,-14.74133333,-14.02,13.64866667,Snow
-9.0,64.2,-14.602,-14.23333333,12.556,Snow
-9.0,66.06666667,-14.24733333,-14.26,12.48133333,Snow
-9.0,66.73333333,-14.12066667,-14.23333333,11.79533333,Snow
-9.0,67.93333333,-13.902,-14.31333333,10.98266667,Snow
-9.0,67.6,-13.962,-14.42666667,9.889333333,Snow
-9.0,68.06666667,-13.878,-14.59333333,9.130666667,Snow
-9.066666667,68.66666667,-13.834,-14.73333333,8.703333333,Snow
-9.533333333,69.26666667,-14.174,-14.82666667,9.427333333,Snow
-9.0,68.33333333,-13.83,-14.77333333,11.148,Snow
-9.0,67.4,-13.99933333,-14.81333333,11.48333333,Snow
-8.466666667,63.66666667,-14.202,-14.7,12.446,Snow
-8.0,60.93333333,-14.29333333,-14.51333333,12.09266667,Snow
-8.0,60.86666667,-14.30666667,-14.5,10.39,Snow
-8.0,61.2,-14.24,-14.2,11.25933333,Snow
-7.866666667,61.0,-14.154,-14.08,11.444,Snow
-7.133333333,60.8,-13.5,-13.6,11.61066667,Snow
-7.4,60.66666667,-13.77933333,-13.22666667,9.668,Snow
-7.0,60.6,-13.414,-12.84666667,8.26,Snow
-7.0,61.13333333,-13.306,-12.35333333,7.725333333,Snow
-6.2,61.06666667,-12.56466667,-11.41333333,8.388,Snow
-5.333333333,59.6,-12.048,-10.2,9.11,Snow
-4.466666667,60.26666667,-11.09066667,-8.713333333,9.146,Snow
-3.8,62.46666667,-10.002,-6.946666667,7.982,Snow
-2.733333333,62.0,-9.086666667,-5.346666667,9.277333333,Snow
-2.0,60.2,-8.774666667,-4.006666667,11.814,Snow
-1.466666667,60.13333333,-8.284666667,-2.6,11.59266667,Snow
-0.933333333,57.13333333,-8.446666667,-1.166666667,11.88666667,Snow
0.0,54.86666667,-8.095333333,-0.3,11.27666667,Snow
0.066666667,56.13333333,-7.736666667,2.773333333,10.29533333,Snow
0.133333333,55.73333333,-7.770666667,2.026666667,9.444,Snow
0.733333333,52.86666667,-7.916,1.333333333,10.926,Snow
1.0,51.86666667,-7.898,1.193333333,8.536666667,Snow
1.0,51.4,-8.024,0.466666667,12.18466667,Snow
