air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,road_temp_set_1,visibility_set_1,dew_point_temperature_set_1d,rain,wet,snow,slush,fog,blowing_snow,black_ice
-10,70.46666667,13.704,-14.1,1.24,-14.41266667,0,0,0,0,0,0,0
-10,68.33333333,14.964,-13.99333333,1.24,-14.79,0,0,0,0,0,0,0
-10,69.06666667,14.39066667,-14.20666667,1.24,-14.658,0,0,0,0,0,0,0
-10,68.85714286,14.41066667,-14.44666667,1.24,-14.69571429,0,0,0,0,0,0,0
-10,69,14.70533333,-14.6,1.24,-14.67,0,0,0,0,0,0,0
-10,70,15.72466667,-14.39333333,1.237333333,-14.49133333,0,0,0,0,0,0,0
-10,69.8,16.20466667,-14.4,1.24,-14.526,0,0,0,0,0,1,0
-10,69.13333333,16.22466667,-14.36,1.216,-14.646,0,0,0,0,0,0,0
-10,68.13333333,16.39,-14.14666667,1.24,-14.826,0,0,0,0,0,0,0
-10,67.8,17.22333333,-14.38,1.195333333,-14.886,0,0,0,0,0,0,0
-10,68.33333333,16.87266667,-14.68666667,1.24,-14.79,0,0,0,0,0,0,0
-10.73333333,69.06666667,16.83466667,-14.96666667,1.24,-15.362,0,0,0,0,0,0,0
-10.93333333,69.66666667,16.64866667,-14.73333333,1.24,-15.446,0,0,0,0,0,1,0
-10.66666667,69.53333333,15.83666667,-14.28666667,1.24,-15.214,0,0,0,0,0,0,0
-10.66666667,70.2,15.48266667,-14.00666667,1.24,-15.096,0,0,0,0,0,0,0
-10,70.2,16.022,-13.04666667,1.24,-14.456,0,0,0,0,0,0,0
-10,69.73333333,15.46466667,-11.90666667,1.24,-14.538,0,0,0,0,0,0,0
-9.933333333,69.6,13.87133333,-9.3,1.24,-14.498,0,0,0,0,0,0,0
-10,70.66666667,16.484,-8.226666667,1.24,-14.37533333,0,0,0,0,0,0,0
-9.2,71,19.076,-7.786666667,1.101333333,-13.54666667,0,0,0,0,0,0,0
-9,71.66666667,19.35533333,-7.073333333,0.747333333,-13.23666667,0,0,0,0,0,0,0
-9,69,18.50333333,-6.453333333,1.039333333,-13.71,0,0,0,0,0,0,0
-9,68.33333333,19.24333333,-5.94,1.138,-13.83,0,0,0,0,0,0,0
-8.733333333,67.06666667,19.31733333,-5.46,1.148666667,-13.80666667,0,0,0,0,0,0,0
-8,63.13333333,19.446,-5.14,1.24,-13.85666667,0,0,0,0,0,0,0
-8,64.2,19.98333333,-5.526666667,1.142666667,-13.64866667,0,0,0,0,0,0,0
-8,65.93333333,18.78,-5.7,1.220666667,-13.31533333,0,0,0,0,0,0,0
-8.066666667,65.73333333,18.88933333,-6.213333333,1.230666667,-13.416,0,0,0,0,0,0,0
-8.466666667,65.73333333,19.62933333,-7.3,1.144666667,-13.79933333,0,0,0,0,0,0,0
-8.866666667,65.13333333,18.91066667,-8.98,1.24,-14.29733333,0,0,0,0,0,0,0
-9,66.4,19.75933333,-9.773333333,1.182857143,-14.184,0,0,0,0,0,0,0
-9,66.93333333,17.85266667,-11.28666667,1.24,-14.09066667,0,0,0,0,0,0,0
-9.266666667,70.26666667,15.854,-12.34,1.24,-13.74066667,0,0,0,0,0,0,0
-9.866666667,69.46666667,14.502,-13.18,1.24,-14.46266667,0,0,0,0,0,1,0
-9.333333333,66.33333333,14.59466667,-13.44666667,1.24,-14.51666667,0,0,0,0,0,0,0
-9.8,66.2,14.44533333,-13.70666667,1.24,-14.98733333,0,0,0,0,0,0,0
-9.133333333,64.4,17.05666667,-13.56666667,1.24,-14.69066667,0,0,0,0,0,0,0
-9.666666667,66.06666667,19.482,-13.39333333,1.234,-14.882,0,0,0,0,0,0,0
-9.533333333,67,19.11333333,-13.27333333,1.24,-14.584,0,0,0,0,0,0,0
-9,66,17.64933333,-13.14,1.24,-14.26,0,0,0,0,0,0,0
-9,66.06666667,16.92733333,-13.34,1.24,-14.248,0,0,0,0,0,0,0
-9,64.66666667,17.11133333,-13.38666667,1.24,-14.51333333,0,0,0,0,0,0,0
-9,63.6,15.79933333,-13.73333333,1.24,-14.71933333,0,0,0,0,0,0,0
-9,63.46666667,13.64866667,-14.02,1.24,-14.74133333,0,0,0,0,0,0,0
-9,64.2,12.556,-14.23333333,1.24,-14.602,0,0,0,0,0,0,0
-9,66.06666667,12.48133333,-14.26,1.24,-14.24733333,0,0,0,0,0,0,0
